Factory_State_Route,Average_Lead_Time,Route_Volume,Route_Efficiency_Score
Lot's O' Nuts → Alabama,8.058823529411764,34,49.57983193277311
Lot's O' Nuts → Alberta,8.3125,16,47.767857142857146
Lot's O' Nuts → Arizona,6.873873873873874,111,58.04375804375804
Lot's O' Nuts → Arkansas,8.548387096774194,31,46.08294930875576
Lot's O' Nuts → British Columbia,7.777777777777778,18,51.58730158730159
Lot's O' Nuts → California,7.881777777777778,1125,50.84444444444444
Lot's O' Nuts → Colorado,8.271844660194175,103,48.05825242718447
Lot's O' Nuts → Connecticut,8.27659574468085,47,48.02431610942249
Lot's O' Nuts → Delaware,7.5813953488372094,43,52.990033222591364
Lot's O' Nuts → District of Columbia,8.5,8,46.42857142857143
Lot's O' Nuts → Florida,7.909090909090909,209,50.64935064935065
Lot's O' Nuts → Georgia,7.663636363636364,110,52.4025974025974
Lot's O' Nuts → Idaho,7.857142857142857,14,51.02040816326531
Lot's O' Nuts → Illinois,7.6367041198501875,267,52.59497057249866
Lot's O' Nuts → Indiana,8.555555555555555,90,46.03174603174603
Lot's O' Nuts → Iowa,6.875,16,58.035714285714285
Lot's O' Nuts → Kansas,8.0,15,50.0
Lot's O' Nuts → Kentucky,7.467532467532467,77,53.80333951762524
Lot's O' Nuts → Louisiana,5.75,24,66.07142857142857
Lot's O' Nuts → Maine,9.5,6,39.285714285714285
Lot's O' Nuts → Manitoba,6.5,2,60.714285714285715
Lot's O' Nuts → Maryland,7.65,60,52.5
Lot's O' Nuts → Massachusetts,8.618421052631579,76,45.58270676691729
Lot's O' Nuts → Michigan,8.0,147,50.0
Lot's O' Nuts → Minnesota,8.86046511627907,43,43.85382059800664
Lot's O' Nuts → Mississippi,7.3,30,55.0
Lot's O' Nuts → Missouri,9.083333333333334,36,42.26190476190476
Lot's O' Nuts → Montana,8.875,8,43.75
Lot's O' Nuts → Nebraska,8.73913043478261,23,44.720496894409926
Lot's O' Nuts → Nevada,9.166666666666666,24,41.66666666666667
Lot's O' Nuts → New Brunswick,8.75,4,44.642857142857146
Lot's O' Nuts → New Hampshire,9.615384615384615,13,38.46153846153846
Lot's O' Nuts → New Jersey,8.03076923076923,65,49.78021978021978
Lot's O' Nuts → New Mexico,10.222222222222221,18,34.126984126984134
Lot's O' Nuts → New York,8.348837209302326,645,47.50830564784053
Lot's O' Nuts → Newfoundland and Labrador,6.833333333333333,6,58.333333333333336
Lot's O' Nuts → North Carolina,8.055944055944057,143,49.6003996003996
Lot's O' Nuts → North Dakota,8.2,5,48.57142857142858
Lot's O' Nuts → Ohio,7.6183206106870225,262,52.72628135223555
Lot's O' Nuts → Oklahoma,8.195121951219512,41,48.606271777003485
Lot's O' Nuts → Ontario,8.178571428571429,28,48.724489795918366
Lot's O' Nuts → Oregon,7.805194805194805,77,51.39146567717996
Lot's O' Nuts → Pennsylvania,8.0,331,50.0
Lot's O' Nuts → Prince Edward Island,7.5,6,53.57142857142857
Lot's O' Nuts → Quebec,8.708333333333334,24,44.94047619047619
Lot's O' Nuts → Rhode Island,9.033333333333333,30,42.61904761904761
Lot's O' Nuts → South Carolina,7.285714285714286,21,55.10204081632653
Lot's O' Nuts → South Dakota,5.777777777777778,9,65.87301587301587
Lot's O' Nuts → Tennessee,8.137614678899082,109,49.0170380078637
Lot's O' Nuts → Texas,7.718804920913884,569,52.00853627918654
Lot's O' Nuts → Utah,8.03448275862069,29,49.75369458128078
Lot's O' Nuts → Vermont,12.6,5,17.142857142857146
Lot's O' Nuts → Virginia,7.871559633027523,109,50.91743119266055
Lot's O' Nuts → Washington,7.605947955390334,269,52.81465746149762
Lot's O' Nuts → West Virginia,3.5,2,82.14285714285714
Lot's O' Nuts → Wisconsin,7.982758620689655,58,50.12315270935961
Lot's O' Nuts → Wyoming,7.0,1,57.142857142857146
Secret Factory → Alabama,7.666666666666667,3,52.38095238095237
Secret Factory → Alberta,12.0,2,21.428571428571427
Secret Factory → Arizona,10.0,5,35.714285714285715
Secret Factory → Arkansas,4.5,2,75.0
Secret Factory → California,6.903225806451613,31,57.834101382488484
Secret Factory → Colorado,5.571428571428571,7,67.34693877551021
Secret Factory → Connecticut,13.0,1,14.285714285714286
Secret Factory → Delaware,7.0,1,57.142857142857146
Secret Factory → Florida,7.857142857142857,7,51.02040816326531
Secret Factory → Georgia,11.0,7,28.571428571428573
Secret Factory → Illinois,8.23076923076923,13,48.35164835164836
Secret Factory → Indiana,10.75,4,30.357142857142858
Secret Factory → Kentucky,8.0,2,50.0
Secret Factory → Louisiana,9.0,2,42.857142857142854
Secret Factory → Maryland,9.333333333333334,3,40.476190476190474
Secret Factory → Massachusetts,10.5,2,32.142857142857146
Secret Factory → Michigan,9.6,5,38.57142857142857
Secret Factory → Minnesota,2.0,1,92.85714285714286
Secret Factory → Mississippi,2.0,1,92.85714285714286
Secret Factory → Nebraska,10.0,1,35.714285714285715
Secret Factory → Nevada,12.0,2,21.428571428571427
Secret Factory → New Hampshire,2.0,1,92.85714285714286
Secret Factory → New Jersey,6.5,2,60.714285714285715
Secret Factory → New Mexico,8.0,2,50.0
Secret Factory → New York,9.333333333333334,24,40.476190476190474
Secret Factory → North Carolina,9.5,4,39.285714285714285
Secret Factory → Ohio,6.769230769230769,13,58.79120879120878
Secret Factory → Oregon,6.5,2,60.714285714285715
Secret Factory → Pennsylvania,7.052631578947368,19,56.766917293233085
Secret Factory → Quebec,6.5,2,60.714285714285715
Secret Factory → Rhode Island,6.333333333333333,3,61.90476190476191
Secret Factory → South Carolina,12.0,1,21.428571428571427
Secret Factory → Tennessee,8.0,3,50.0
Secret Factory → Texas,7.5,16,53.57142857142857
Secret Factory → Utah,1.0,1,100.0
Secret Factory → Vermont,8.0,1,50.0
Secret Factory → Virginia,11.4,5,25.71428571428571
Secret Factory → Washington,6.2727272727272725,11,62.33766233766233
Secret Factory → Wisconsin,6.6,5,60.0
Sugar Shack → Arizona,7.0,1,57.142857142857146
Sugar Shack → California,10.0,1,35.714285714285715
Sugar Shack → Connecticut,6.0,1,64.28571428571429
Sugar Shack → Delaware,9.0,1,42.857142857142854
Sugar Shack → Florida,11.333333333333334,3,26.190476190476186
Sugar Shack → Illinois,10.0,2,35.714285714285715
Sugar Shack → Michigan,7.0,3,57.142857142857146
