State/Province,Total_Shipments,Average_Lead_Time
Alabama,61,8.01639344262295
Alberta,26,7.730769230769231
Arizona,224,7.660714285714286
Arkansas,60,8.216666666666667
British Columbia,22,7.2272727272727275
California,2001,7.95352323838081
Colorado,182,8.076923076923077
Connecticut,82,7.878048780487805
Delaware,96,7.71875
District of Columbia,10,8.5
Florida,383,7.827676240208877
Georgia,184,7.880434782608695
Idaho,21,8.761904761904763
Illinois,492,7.815040650406504
Indiana,149,8.208053691275168
Iowa,30,7.8
Kansas,24,7.958333333333333
Kentucky,139,7.820143884892087
Louisiana,42,6.833333333333333
Maine,8,8.25
Manitoba,12,8.416666666666666
Maryland,105,7.485714285714286
Massachusetts,135,8.451851851851853
Michigan,255,7.694117647058824
Minnesota,89,8.168539325842696
Mississippi,53,8.075471698113208
Missouri,66,8.984848484848484
Montana,15,7.666666666666667
Nebraska,38,7.7368421052631575
Nevada,39,9.205128205128204
New Brunswick,8,7.25
New Hampshire,27,9.11111111111111
New Jersey,130,8.2
New Mexico,37,8.054054054054054
New York,1128,8.384751773049645
Newfoundland and Labrador,6,6.833333333333333
North Carolina,249,8.373493975903614
North Dakota,7,7.571428571428571
Nova Scotia,6,6.666666666666667
Ohio,469,7.884861407249467
Oklahoma,66,8.333333333333334
Ontario,58,7.689655172413793
Oregon,124,8.233870967741936
Pennsylvania,587,7.952299829642249
Prince Edward Island,10,7.9
Quebec,50,7.52
Rhode Island,56,7.875
Saskatchewan,2,12.5
South Carolina,42,7.357142857142857
South Dakota,12,5.416666666666667
Tennessee,183,8.448087431693988
Texas,985,7.894416243654822
Utah,53,8.09433962264151
Vermont,11,9.545454545454545
Virginia,224,8.071428571428571
Washington,506,7.733201581027668
West Virginia,4,6.5
Wisconsin,110,7.972727272727273
Wyoming,1,7.0
