Factory_State_Route,Total_Shipments,Average_Lead_Time,Lead_Time_Variability,Route_Rank
Secret Factory → Utah,1,1.0,,1
The Other Factory → Oregon,2,1.5,0.7071067811865476,2
Sugar Shack → Tennessee,1,2.0,,3
Secret Factory → New Hampshire,1,2.0,,4
The Other Factory → South Carolina,1,2.0,,5
Secret Factory → Mississippi,1,2.0,,6
Secret Factory → Minnesota,1,2.0,,7
The Other Factory → Connecticut,2,3.0,2.8284271247461903,8
Sugar Shack → Rhode Island,1,3.0,,9
The Other Factory → North Carolina,1,3.0,,10
